"Arquivo";"Claim";"Veredito";"Fonte";"Explicação"
"S0001706X14003180.json";"These aquatic crustaceans are among the most abundant multicellular animals on Earth and can be found naturally throughout Vietnam, living in natural water sources as well as artificial containers (Marten and Reid, 2007; Kay et al., 2002; Vu et al., 2000).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que há uma abundância de Mesocyclops spp. locais, o que suporta a afirmação de que esses crustáceos aquáticos são comuns no Vietnã e podem ser encontrados naturalmente em diferentes ambientes de água. ### References * [1] Document Title One"
"S0001706X14003180.json";"This finding is consistent with a previous study in the same area (Vu et al., 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte apresenta uma estratégia de controle de mosquito que resultou na eliminação do Aedes aegypti em 40 das 46 comunas no norte e centro do Vietnã, o que é consistente com a afirmação da Auditoria Científica."
"S0001706X14003180.json";"As there is no vaccine or treatment for dengue, prevention and control of this disease depend on vector control to reduce viral transmission (Guzman and Kouri, 2002).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que, atualmente, a única alternativa para controlar a doença é controlar o vetor Aedes aegypti, o que apóia a ideia de que a prevenção e controle da dengue dependem do controle do vetor para reduzir a transmissão viral."
"S0001706X14003180.json";"From 1998, the Vietnamese government has experimented with copepod Mesocyclops as a biological control agent for dengue (Kay and Vu, 2005; Vu et al., 1998).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que a estratégia de controle de mosquitos, utilizando copepóides Mesocyclops, é sustentável no Vietnã e aplicável quando os principais fontes de Aedes aegypti são recipientes de armazenamento de água grande. Isso suporta a afirmação original de que o governo vietnamita experimentou a utilização de copepóides Mesocyclops como agente de controle biológico para dengue, desde 1998."
"S0001706X14003180.json";"From 1998, the Vietnamese government has experimented with copepod Mesocyclops as a biological control agent for dengue (Kay and Vu, 2005; Vu et al., 1998).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que os copepódios de Mesocyclops foram usados como agente de controle biológico do Aedes aegypti, principal vetor das vírus da dengue em nordeste do Vietnam."
"S0001706X14003180.json";"While misclassification of some immature mosquitoes could be an issue, it is unlikely given the experience and expertise of IP and the known predominance of Aedes aegypti in the study area (Higa et al., 2010; Kawada et al., 2009).";"SUPPORTIVE";"CACHE 💾";"A fonte sugere que a coleta de larvas em pneus usados pode ser uma abordagem rápida e adequada para avaliar a distribuição atual das moscas transmissoras do dengue, o que apoia a ideia de que a identificação de imaturos de mosquito é menos provável de ser um problema significativo."
"S0001706X14003180.json";"While misclassification of some immature mosquitoes could be an issue, it is unlikely given the experience and expertise of IP and the known predominance of Aedes aegypti in the study area (Higa et al., 2010; Kawada et al., 2009).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que a experiência e expertise do IP, juntamente com a predominância de Aedes aegypti na área de estudo (Higa et al., 2010; Kawada et al., 2009), torna improvável a classificação errada de alguns mosquitos imaturos. Isso suporta a afirmação de que a classificação é confiável."
"S0001706X14003180.json";"This is not surprising because the risk of dengue is influenced by many factors besides Aedes abundance and survival, including climate, dengue virulence, immunological status, and density of the human population (Esu et al., 2010; Barcellos and Lowe, 2014).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que o risco de dengue é influenciado por muitos fatores além da abundância e sobrevivência do Aedes, incluindo clima, virulência da dengue, status imunológico e densidade populacional humana, o que apoia a afirmação."
"S0001706X14003180.json";"This is not surprising because the risk of dengue is influenced by many factors besides Aedes abundance and survival, including climate, dengue virulence, immunological status, and density of the human population (Esu et al., 2010; Barcellos and Lowe, 2014).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que a eficácia da controle de peridoméstico com inseticidas na redução das populações selvagens de Aedes e na interrupção da transmissão do dengue é revisada, o que apoia a ideia de que muitos fatores influenciam o risco de dengue, incluindo a abundância e sobrevivência de Aedes."
"S0001706X14003180.json";"This is not surprising given international experience with dengue control has generally shown a need for strong ‘top-down’ leadership and support (Morrison et al., 2008).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que a supressão de Aedes aegypti é um método prático para controlar o dengue, o que sugere apoio à necessidade de liderança e suporte ""de cima para baixo"" mencionada na afirmação."
"S0001706X14003180.json";"With an annual estimation of 390 million cases worldwide, growing incidence and more frequent epidemics, dengue is an increasingly important public health challenge (Bhatt et al., 2013; Farrar et al., 2007; Guzman and Kouri, 2002; WHO, 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que ""With an annual estimation of 390 million cases worldwide, growing incidence and more frequent epidemics, dengue is an increasingly important public health challenge"", o que coincide com a estimativa de casos por ano mencionada na fonte suportada (390 milhões)."
"S0001706X14003180.json";"With an annual estimation of 390 million cases worldwide, growing incidence and more frequent epidemics, dengue is an increasingly important public health challenge (Bhatt et al., 2013; Farrar et al., 2007; Guzman and Kouri, 2002; WHO, 2012).";"**** SUPPORTIVE **";"CACHE 💾";"** A fonte afirma que a doença está espalhando-se incontrolavelmente e quase 40% da população mundial corre risco de contrair a dengue, o que apoia a afirmação de que a dengue é uma importante ameaça à saúde pública. ### References - [1] In the early years of the 21st century the authors are collectively failing to meet the threat posed by dengue as the disease spreads unabated and almost 40% of the worlds population now live at risk of contracting it."
"S0001706X14003180.json";"With an annual estimation of 390 million cases worldwide, growing incidence and more frequent epidemics, dengue is an increasingly important public health challenge (Bhatt et al., 2013; Farrar et al., 2007; Guzman and Kouri, 2002; WHO, 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte menciona que a dengue é uma importante questão de saúde pública, com estimativa anual de 390 milhões de casos mundo todo, e destaca a importância do controle do vetor Aedes aegypti na prevenção da doença."
"S0001706X14003180.json";"Previous entomological surveillance of this area from 2008 to 2010 showed that the control program had a substantial impact on Aedes aegypti abundance, with control efficacy of 98.2% (Vu et al., 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte descreve a estratégia de controle comunitário e seus resultados, incluindo a redução significativa da abundância de Aedes aegypti e a eliminação do mosquito em 40 das 46 comunas estudadas. Além disso, a fonte menciona que ""at the conclusion of the study, no confirmed dengue cases were detected in four of the five communes for which diagnostic serologic analysis was performed"", o que apoia a afirmação de que a estratégia de controle teve um impacto substancial na população de Aedes aegypti."
"S0001706X14003180.json";"aegypti, with preference for first instars, so acting as an effective predator for biological control of the transmission system (Marten and Reid, 2007; Kay et al., 1992b).";"**** SUPPORTIVE **";"CACHE 💾";"** A fonte menciona que M. longisetus foi selecionado para testes de campo nos vilarejos rurais do Ceará para controlar Ae., o que sugere que essa espécie é eficaz no controle biológico da transmissão. ### References - [1] Document Title One - [2] M. longisetus has been selected for field trials in rural villages in Ceará to control Ae. - [3] Findings suggest that this mosquito control strategy is sustainable in Vietnam and applicable where the major sources of A aegypti are large water storage containers. Note: The references provided only include documents directly related to or mentioned by the source cited."
"S0001706X14003180.json";"aegypti, with preference for first instars, so acting as an effective predator for biological control of the transmission system (Marten and Reid, 2007; Kay et al., 1992b).";"SUPPORTIVE";"CACHE 💾";"A fonte confirma que os copepóides, como Thermocyclops taihokuensis e Mesocyclops spp., podem ser usados como agentes de controle biológico contra a doença branca em aquicultura."
"S0001706X14003180.json";"While the survey was cross-sectional and the issues of temporality complicate inference of cause or effect (Webb and Bain, 2011), external (prior) knowledge of the predator-prey relationship between copepods and Aedes larvae suggests strongly that the trends of decreasing Mesocyclops and increasing Aedes are biologically related with copepods as cause and the larval abundance as effect (Marten and Reid, 2007).";"SUPPORTIVE";"CACHE 💾";"A fonte apresenta resultados de pesquisa que indicam a capacidade dos copêpodes como agentes biológicos para controlar a doença, o que suporta a afirmação de que os copepodos podem causar uma redução na abundância de larvas de Aedes."
"S0001706X14003180.json";"The main vector of dengue is Aedes aegypti, a domestic mosquito that breeds mainly in artificial water containers (Focks et al., 1981).";"**** SUPPORTIVE **";"CACHE 💾";"** A fonte confirma que o mosquito Aedes aegypti é o principal vetor da dengue e que ele se reproduz principalmente em recipientes artificiais de água, como mostrado nos índices de infestação relatados no estudo."
"S0001706X14003180.json";"In the Vietnamese countryside, many people store water in containers around the household due to unreliable public water supply, thereby providing a major site for mosquito breeding and dengue transmission (Kay and Vu, 2005; Nguyen et al., 2011).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que a estratégia de controle de mosquito é sustentável no Vietnã e aplicável onde os principais locais de reprodução da Aedes aegypti são grandes tanques de armazenamento de água, o que suporta a afirmação de que os contêineres com água em torno das casas são um local importante para a transmissão do dengue."
"S0001706X14003180.json";"In the Vietnamese countryside, many people store water in containers around the household due to unreliable public water supply, thereby providing a major site for mosquito breeding and dengue transmission (Kay and Vu, 2005; Nguyen et al., 2011).";"**** SUPPORTIVE **";"CACHE 💾";"** A fonte menciona que a disponibilidade de recipientes de armazenamento de água doméstica é um fator de risco significativo para infestação com Ae, o que suporta a afirmação sobre a relação entre estoque de água e transmissão de dengue no interior do Vietnã. ### References * [1] Document Title One"
"S0001706X14003180.json";"The calculated values were compared with the original study, noting trends and patterns (Vu et al., 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte descreve a implementação de uma estratégia de controle comunitário de mosquitos, que resultou na eliminação de Aedes aegypti em 40 das 46 comunas estudadas no norte e centro do Vietnã. Além disso, a fonte menciona que o programa foi estendido para outras regiões e apresenta resultados positivos, incluindo reduções significativas da população de Aedes aegypti e não detecção de casos de dengue em algumas comunas."
"S0001706X14003180.json";"These collaborators were trained to produce Mesocyclops and to monitor domestic water containers, treating them with copepods inoculations as needed (Vu et al., 2012).";"SUPPORTIVE";"CACHE 💾";"A afirmação é suportada pela fonte, que descreve a implementação de um programa comunitário de controle de mosquito que envolveu a produção e o monitoramento de Mesocyclops para tratar recipientes de água doméstica."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte afirma que a estratégia de controle de mosquito é sustentável no Vietnã e aplicável onde as principais fontes de Aedes aegypti são grandes recipientes de armazenamento de água, o que é consistente com a ideia de limpeza da comunidade citada na afirmação."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte menciona a dificuldade de monitorar a transmissão do dengue apenas com vigilância clínica e serológica, o que é coerente com a afirmação de que as campanhas de limpeza comunitária também foram realizadas para eliminar os locais de reprodução dos Aedes."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte menciona a utilização de copepods da espécie Mesocyclops para controle biológico de Aedes aegypti, o que sugere que a limpeza dos locais pode ser uma medida eficaz para evitar a propagação do mosquito."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"NOT_MENTIONED";"CACHE 💾";"A fonte não menciona campanhas de limpeza da comunidade, apenas afirma a abundância de Mesocyclops spp. local."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte menciona a colaboração de voluntários comunitários na prevenção da doença, o que apoia a afirmação de que campanhas de limpeza comunitárias também foram realizadas para remover lixo que pode servir como local de reprodução das espécies de Aedes."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"SUPPORTIVE";"CACHE 💾";"A fonte menciona a realização de campanhas de limpeza comunitária para remover lixo que poderia servir como local de criação de Aedes, o que é consistente com a afirmação."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"**** SUPPORTIVE **";"CACHE 💾";"** A fonte menciona que, além da utilização de copepóides predadores para controle de Aedes, também foram realizadas campanhas de limpeza comunitária para eliminar lixo que poderia servir como locais de reprodução para espécies do gênero Aedes."
