"Arquivo";"Claim";"Veredito";"Fonte";"DOI";"Titulo_Artigo";"Explicação"
"S0001706X14003180.json";"These aquatic crustaceans are among the most abundant multicellular animals on Earth and can be found naturally throughout Vietnam, living in natural water sources as well as artificial containers (Marten and Reid, 2007; Kay et al., 2002; Vu et al., 2000).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2000.62.5";"National progress in dengue vector control in Vietnam: Survey for Mesocyclops (Copepoda), Micronecta (Corixidae), and fish as biological control agents";"O texto da fonte menciona ""abundância de Mesocyclops spp. locais"", o que é uma evidência direta para a afirmação de que esses crustáceos aquáticos são abundantes na região, como citado no CLAIM."
"S0001706X14003180.json";"This finding is consistent with a previous study in the same area (Vu et al., 2012).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"O texto menciona uma pesquisa anterior de Vu et al. (2012), que está relacionada ao mesmo tópico e região, o que suporta a afirmação de que as duas pesquisas estão consistentes."
"S0001706X14003180.json";"As there is no vaccine or treatment for dengue, prevention and control of this disease depend on vector control to reduce viral transmission (Guzman and Kouri, 2002).";"SUPPORTIVE";"CACHE 💾";"10.1016/S1473-3099(01)00171-2";"Dengue: An update";"O texto menciona explicitamente que o controle do vetor Aedes aegypti é a única alternativa atual para controlar a doença, o que sugere que não há tratamento ou vacina disponível, reforçando a ideia de que a prevenção e o controle dependem do controle do vetor."
"S0001706X14003180.json";"From 1998, the Vietnamese government has experimented with copepod Mesocyclops as a biological control agent for dengue (Kay and Vu, 2005; Vu et al., 1998).";"SUPPORTIVE";"CACHE 💾";"10.1016/S0140-6736(05)17913-6";"New strategy against Aedes aegypti in Vietnam";"A fonte texto menciona a estratégia de controle de mosquito utilizando Mesocyclops como biológico, o que apóia diretamente a afirmação de que o governo vietnamita experimentou com este método desde 1998."
"S0001706X14003180.json";"From 1998, the Vietnamese government has experimented with copepod Mesocyclops as a biological control agent for dengue (Kay and Vu, 2005; Vu et al., 1998).";"SUPPORTIVE";"CACHE 💾";"";"Eradication of Aedes aegypti from a village in Vietnam, using copepods and community participation";"A fonte textual menciona que os copepóides de Mesocyclops foram utilizados para controle biológico do principal vetor da dengue, o Aedes aegypti, por inoculação em poços e recipientes domésticos, apoiando assim a afirmação de que o governo vietnamita experimentou com Mesocyclops como agente de controle biológico para dengue."
"S0001706X14003180.json";"While misclassification of some immature mosquitoes could be an issue, it is unlikely given the experience and expertise of IP and the known predominance of Aedes aegypti in the study area (Higa et al., 2010; Kawada et al., 2009).";"NOT_MENTIONED";"CACHE 💾";"10.2987/09-5945.1";"Geographic distribution of Aedes aegypti and Aedes albopictus collected from used tires in Vietnam";"A fonte não menciona a possibilidade de classificação errada de mosquitos imaturos ou a experiência e expertise do IP, portanto não fornece suporte explícito para o pedido."
"S0001706X14003180.json";"While misclassification of some immature mosquitoes could be an issue, it is unlikely given the experience and expertise of IP and the known predominance of Aedes aegypti in the study area (Higa et al., 2010; Kawada et al., 2009).";"SUPPORTIVE";"CACHE 💾";"10.1371/journal.pntd.0000391";"Nationwide investigation of the pyrethroid susceptibility of mosquito larvae collected from used tires in Vietnam";"O texto menciona que a predominância de Aedes aegypti na área de estudo (Higa et al., 2010; Kawada et al., 2009) e a experiência e especialização da IP minimizam a possibilidade de classificação incorreta de mosquito imaturo, o que apoia a afirmação do CLAIM."
"S0001706X14003180.json";"This is not surprising because the risk of dengue is influenced by many factors besides Aedes abundance and survival, including climate, dengue virulence, immunological status, and density of the human population (Esu et al., 2010; Barcellos and Lowe, 2014).";"NOT_MENTIONED";"CACHE 💾";"10.1111/tmi.12227";"Expansion of the dengue transmission area in Brazil: The role of climate and cities";"O texto de origem não menciona fatores que influenciam a risco de dengue, portanto não é possível afirmar se o mesmo apoia ou contradiz a afirmação original."
"S0001706X14003180.json";"This is not surprising because the risk of dengue is influenced by many factors besides Aedes abundance and survival, including climate, dengue virulence, immunological status, and density of the human population (Esu et al., 2010; Barcellos and Lowe, 2014).";"NOT_MENTIONED";"CACHE 💾";"10.1111/j.1365-3156.2010.02489.x";"Effectiveness of peridomestic space spraying with insecticide on dengue transmission; Systematic review";"O texto da fonte não menciona nada sobre a influência de fatores como clima, virulência do vírus dengue, status imunológico e densidade populacional no risco de dengue. Apenas se refere à revisão da eficácia da aplicação de inseticidas em áreas próximas às residências para reduzir as populações de Aedes selvagens e interromper a transmissão do vírus."
"S0001706X14003180.json";"This is not surprising given international experience with dengue control has generally shown a need for strong ‘top-down’ leadership and support (Morrison et al., 2008).";"NOT_MENTIONED";"CACHE 💾";"10.1371/journal.pmed.0050068";"Defining challenges and proposing solutions for control of the virus vector Aedes aegypti";"A fonte não menciona nada sobre a necessidade de ""leadership forte"" ou o conceito de ""top-down"", portanto não fornece suporte direto para a afirmativa."
"S0001706X14003180.json";"With an annual estimation of 390 million cases worldwide, growing incidence and more frequent epidemics, dengue is an increasingly important public health challenge (Bhatt et al., 2013; Farrar et al., 2007; Guzman and Kouri, 2002; WHO, 2012).";"SUPPORTIVE";"CACHE 💾";"10.1038/nature12060";"The global distribution and burden of dengue";"A fonte textual menciona que a estimativa de 390 milhões de casos anuais é baseada em um estudo detalhado e usa uma estrutura de modelagem formal, o que contradiz a afirmação de ser apenas ""uma estimativa"" e reforça a credibilidade da informação. Além disso, o texto também apresenta uma faixa de confiança (284-528) para essa estimação, o que sugere uma abordagem rigorosa."
"S0001706X14003180.json";"With an annual estimation of 390 million cases worldwide, growing incidence and more frequent epidemics, dengue is an increasingly important public health challenge (Bhatt et al., 2013; Farrar et al., 2007; Guzman and Kouri, 2002; WHO, 2012).";"SUPPORTIVE";"CACHE 💾";"10.1111/j.1365-3156.2007.01838.x";"Editorial: Towards a global dengue research agenda";"A fonte menciona que ""dengue é a doença transmitida por vetores mais rapidamente avançada, com uma estimativa de 50 milhões de infecções anuais"" e que o número de casos está aumentando, o que suporta a afirmação do CLAIM."
"S0001706X14003180.json";"With an annual estimation of 390 million cases worldwide, growing incidence and more frequent epidemics, dengue is an increasingly important public health challenge (Bhatt et al., 2013; Farrar et al., 2007; Guzman and Kouri, 2002; WHO, 2012).";"NOT_MENTIONED";"CACHE 💾";"10.1016/S1473-3099(01)00171-2";"Dengue: An update";"A fonte de texto não menciona números específicos ou dados que confirmem o aumento da incidência do dengue. Ela apenas destaca a importância da vacinação e sugere que a controle do vetor é uma alternativa atual para controlar a doença, mas não fornece informações sobre a frequência dos casos ou epidemias."
"S0001706X14003180.json";"Previous entomological surveillance of this area from 2008 to 2010 showed that the control program had a substantial impact on Aedes aegypti abundance, with control efficacy of 98.2% (Vu et al., 2012).";"NOT_MENTIONED";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"O texto menciona que a redução de Ae. aegypti imaturos foi de 98,8%, mas não faz referência à eficácia do controle em reduzir a população de Aedes aegypti entre os anos de 2008 e 2010 especificamente. Além disso, o texto refere-se a um período de controle (2004-2010) que engloba parte da janela temporal mencionada no CLAIM."
"S0001706X14003180.json";"aegypti, with preference for first instars, so acting as an effective predator for biological control of the transmission system (Marten and Reid, 2007; Kay et al., 1992b).";"NOT_MENTIONED";"CACHE 💾";"10.1093/jmedent/29.4.599";"Laboratory evaluation of Brazilian Mesocyclops (Copepoda: Cyclopidae) for mosquito control.";"A fonte de texto não menciona nada sobre predadores ou controle biológico, deixando a afirmação do CLAIM sem suporte explícito na fonte."
"S0001706X14003180.json";"aegypti, with preference for first instars, so acting as an effective predator for biological control of the transmission system (Marten and Reid, 2007; Kay et al., 1992b).";"NOT_MENTIONED";"CACHE 💾";"";"Cyclopoid copepods";"O texto em questão trata da doença do ponto branco causada pelo ciliado Ichthyophthirius multifiliis e a importância de controlar os teronços para evitar infecções, bem como o uso de copepóides ciclopidos como agentes de controle biológico. No entanto, não há menção aos instares (primeiros estádios) do mosquito Aedes aegypti ou sua preferência por eles, nem à capacidade desse mosquito em controlar o sistema de transmissão da doença."
"S0001706X14003180.json";"While the survey was cross-sectional and the issues of temporality complicate inference of cause or effect (Webb and Bain, 2011), external (prior) knowledge of the predator-prey relationship between copepods and Aedes larvae suggests strongly that the trends of decreasing Mesocyclops and increasing Aedes are biologically related with copepods as cause and the larval abundance as effect (Marten and Reid, 2007).";"SUPPORTIVE";"CACHE 💾";"";"Cyclopoid copepods";"A fonte deixa claro que os copépodos, incluindo o Mesocyclops, são predadores dos terontos do I. multifiliis e que sua presença pode reduzir a infecção da doença em peixes, o que é consistente com a afirmação de que a tendência de aumento nos Aedes (larvas) está relacionada à diminuição no número de Mesocyclops como uma consequência do consumo desses copépodos."
"S0001706X14003180.json";"The main vector of dengue is Aedes aegypti, a domestic mosquito that breeds mainly in artificial water containers (Focks et al., 1981).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.1981.30.1329";"Observations on container-breeding mosquitoes in New Orleans, Louisiana, with an estimate of the population density of Aedes aegypti (L.)";"O texto menciona Aedes aegypti como o principal vetor de dengue e informa sobre os índices de infestação em diferentes tipos de recipientes, incluindo casa e receptáculos, o que sugere que esse mosquito se reproduz principalmente em recipientes artificiais."
"S0001706X14003180.json";"In the Vietnamese countryside, many people store water in containers around the household due to unreliable public water supply, thereby providing a major site for mosquito breeding and dengue transmission (Kay and Vu, 2005; Nguyen et al., 2011).";"SUPPORTIVE";"CACHE 💾";"10.1016/S0140-6736(05)17913-6";"New strategy against Aedes aegypti in Vietnam";"O texto de referência menciona que os grandes contêineres de armazenamento de água são uma das principais fontes da espécie A aegypti, o que pode estar relacionado à transmissão do dengue. Isso está em linha com o afirmação de que as pessoas em áreas rurais do Vietnã utilizam contêineres de água em torno das casas, criando um local para a reprodução dos mosquitos e a transmissão da doença."
"S0001706X14003180.json";"In the Vietnamese countryside, many people store water in containers around the household due to unreliable public water supply, thereby providing a major site for mosquito breeding and dengue transmission (Kay and Vu, 2005; Nguyen et al., 2011).";"SUPPORTIVE";"CACHE 💾";"10.1016/j.inhe.2010.11.002";"Abundance and prevalence of Aedes aegypti immatures and relationships with household water storage in rural areas in southern Viet Nam";"A fonte texto explicitamente menciona que o ""disponibilidade de recipientes de armazenamento de água domiciliar"" é um fator de risco importante para a infestação por Ae (Aedes), o que está relacionado à transmissão da dengue."
"S0001706X14003180.json";"The calculated values were compared with the original study, noting trends and patterns (Vu et al., 2012).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"O texto de origem descreve a comparação entre os valores calculados e o estudo original, notando tendências e padrões (Vu et al., 2012). Isso sugere que a pesquisa mencionada na declaração da reivindicação foi realizada."
"S0001706X14003180.json";"These collaborators were trained to produce Mesocyclops and to monitor domestic water containers, treating them with copepods inoculations as needed (Vu et al., 2012).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"O texto informa que a prevalência de Mesocyclops em grandes recipientes de armazenamento de água aumentou significativamente, do 12.77% para 75.69%, o que sugere que os colaboradores foram treinados e eficazes no controle da espécie com a introdução de copepódios como necessário."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"NOT_MENTIONED";"CACHE 💾";"10.1016/S0140-6736(05)17913-6";"New strategy against Aedes aegypti in Vietnam";"A fonte não menciona absolutamente nada sobre campanhas de limpeza comunitária para remover lixo que possa servir como locais de reprodução para espécies de Aedes. Além disso, a fonte se concentra na sustentabilidade da estratégia de controle de mosquitos em Vietnam e não faz referência às espécies mencionadas no CLAIM."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"NOT_MENTIONED";"CACHE 💾";"10.4269/ajtmh.2002.66.40";"Control of Aedes vectors of dengue in three provinces of Vietnam by use of Mesocyclops (Copepoda) and community-based methods validated by entomologic, clinical, and serological surveillance";"A fonte de texto não menciona a realização de campanhas de limpeza comunitárias para eliminar resíduos que pudessem servir como habitats para espécies do gênero Aedes."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"NOT_MENTIONED";"CACHE 💾";"";"Eradication of Aedes aegypti from a village in Vietnam, using copepods and community participation";"A fonte não menciona campanhas de limpeza comunitárias para eliminar lixo que possa servir como habitats para espécies do gênero Aedes, mas sim fala sobre o uso de copepóides para controlar biologicamente os vetores de dengue."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"NOT_MENTIONED";"CACHE 💾";"10.4269/ajtmh.2000.62.5";"National progress in dengue vector control in Vietnam: Survey for Mesocyclops (Copepoda), Micronecta (Corixidae), and fish as biological control agents";"O texto da fonte não menciona campanhas de limpeza comunitária ou a remoção de lixo como criadouros para espécies de Aedes, apenas informa sobre a abundância de Mesocyclops spp. localmente."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"NOT_MENTIONED";"CACHE 💾";"";"Community mobilization, behaviour change and biological control in the prevention and control of dengue fever in Viet Nam";"A frase de origem não menciona a realização de campanhas de limpeza comunitárias para eliminar lixo que possa servir como locais de reprodução da espécie Aedes."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"SUPPORTIVE";"CACHE 💾";"10.4269/ajtmh.2012.11-0466";"Community-based control of Aedes aegypti by using Mesocyclops in Southern Vietnam";"A fonte menciona que os programas comunitários também envolviam campanhas de limpeza e educação, o que suporta a afirmação da realização de campanhas de limpeza de áreas para remover possíveis locais de reprodução das espécies Ae."
"S0001706X14003180.json";"Community clean-up campaigns were also carried out to clear rubbish that could act as breeding sites for Aedes species (Kay et al., 2002; Kay and Vu, 2005; Vu et al., 1998, 2000, 2004, 2005, 2012).";"NOT_MENTIONED";"CACHE 💾";"";"Elimination of dengue by community programs using Mesocyclops (copepoda) against Aedes aegypti in central Vietnam";"O texto de referência não menciona nada sobre campanhas de limpeza comunitárias para eliminar lixo que possa servir como locais de reprodução da espécie Aedes, nem faz alusão à presença de tais espécies."
